comparison,n_queries,b1_correct,ours_correct,query_difference,mean_diff_pp,ci_lower_pp,ci_upper_pp,p_diff_gt_0,p_diff_lt_0,interpretation
top10_vs_b1,1231,535,532,-3,-0.241,-1.381,0.894,0.304,0.646,"Top-10 confidence-gated result is 3 queries lower than B1, but the bootstrap confidence interval includes zero; treated as statistically indistinguishable."
full_vs_b1,1231,535,535,0,0.002,-1.137,1.137,0.473,0.466,"Full-database confidence-gated result exactly matches B1 query count; bootstrap confidence interval includes zero."
