Dataset,R1_min,R1_max,R1_range,R5_min,R5_max,R5_range,R10_min,R10_max,R10_range,max_abs_delta_R1,max_abs_delta_R5,max_abs_delta_R10
AmsterTime,44.11047928513403,44.760357432981316,0.6498781478472822,65.15028432168968,66.04386677497969,0.8935824532900085,70.18683996750609,70.18683996750609,0.0,0.4061738424045487,0.48740861088546694,0.0
MSLS-val held-out,84.55598455598455,85.71428571428571,1.1583011583011569,91.31274131274131,91.6988416988417,0.3861003861003951,93.05019305019306,93.05019305019306,0.0,0.772200772200776,0.3861003861003951,0.0
Nordland-clean,50.24999999999999,51.24999999999999,1.0,77.5,78.75,1.25,87.75,87.75,0.0,0.7499999999999929,1.25,0.0
