Dataset,R1_min,R1_max,R1_range,R5_min,R5_max,R5_range,R10_min,R10_max,R10_range,max_abs_delta_R1,max_abs_delta_R5,max_abs_delta_R10
AmsterTime,44.191714053614945,44.35418359057677,0.16246953696182231,65.2315190901706,65.71892770105605,0.48740861088545273,70.18683996750609,70.18683996750609,0.0,0.16246953696182231,0.4061738424045558,0.0
MSLS-val held-out,85.13513513513513,85.52123552123551,0.3861003861003809,91.11969111969111,91.6988416988417,0.5791505791505926,93.05019305019306,93.05019305019306,0.0,0.19305019305019755,0.3861003861003951,0.0
Nordland-clean,49.0,51.24999999999999,2.249999999999993,76.75,78.75,2.0,87.75,87.75,0.0,1.5,2.0,0.0
