Dataset,n_queries,n_low_10pct,overlap_lowSU_lowLanguageWeight_count,overlap_lowSU_lowLanguageWeight_pct_of_bucket,overlap_lowLU_lowLanguageWeight_count,overlap_lowLU_lowLanguageWeight_pct_of_bucket,V2_R@1_full,V2_R@1_low_SU_10pct,V2_R@1_low_language_weight_10pct,V2_R@1_overlap_lowSU_lowLanguageWeight,mean_SU_full,mean_SU_low_language_weight_10pct,mean_language_weight_full,mean_language_weight_low_SU_10pct,rho,candidate_pool,uncertainty_k
AmsterTime,1231,124,74,59.67741935483871,0,0.0,44.35418359057677,92.74193548387096,90.32258064516128,93.24324324324324,0.7286254167556763,0.48187118768692017,0.28301650285720825,0.10693798959255219,3.0,10,10
MSLS-val held-out,518,52,30,57.69230769230769,1,1.9230769230769231,85.32818532818533,100.0,100.0,100.0,0.7153035402297974,0.4817498028278351,0.27628275752067566,0.15534064173698425,3.0,10,10
Nordland-clean,400,40,31,77.5,0,0.0,50.5,72.5,72.5,70.96774193548387,0.8055589199066162,0.6028798222541809,0.2875187397003174,0.08074294775724411,3.0,10,10
