seed,n_calibration,n_evaluation,selected_rho,selected_candidate_pool,uncertainty_k,calibration_R@1,calibration_R@5,calibration_R@10,heldout_R@1,heldout_R@5,heldout_R@10,heldout_count@1,heldout_count@5,heldout_count@10,heldout_mean_alpha
1,222,518,2.0,20,10,85.58558558558559,89.1891891891892,91.8918918918919,85.71428571428571,92.08494208494209,93.62934362934364,444,477,485,0.6465428471565247
7,222,518,2.0,20,10,86.93693693693693,91.8918918918919,92.7927927927928,85.13513513513513,90.92664092664093,93.24324324324324,441,471,483,0.6469475626945496
21,222,518,4.0,10,10,87.38738738738738,92.7927927927928,93.69369369369369,84.74903474903475,90.54054054054053,92.47104247104248,439,469,479,0.769673764705658
42,222,518,3.0,10,10,85.58558558558559,90.990990990991,92.34234234234235,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,0.723717212677002
100,222,518,2.0,10,10,87.83783783783784,94.5945945945946,95.94594594594594,84.55598455598455,89.57528957528957,91.5057915057915,438,464,474,0.6481330394744873
