Dataset,Bucket,LU_deciles,n_queries,mean_LU,visual_R@1,language_only_R@1,v2_R@1,language_minus_visual_pp,language_minus_visual_CI95_low,language_minus_visual_CI95_high,language_minus_visual_significant,v2_minus_visual_pp,v2_minus_visual_CI95_low,v2_minus_visual_CI95_high,v2_minus_visual_significant
AmsterTime,bottom_3_low_LU,"1,2,3",370,0.8544473646756756,48.64864864864865,36.486486486486484,49.72972972972973,-12.162162162162165,-17.2972972972973,-7.027027027027027,True,1.0810810810810811,-2.7027027027026973,4.864864864864865,False
AmsterTime,top_3_high_LU,"8,9,10",369,0.9402679685907859,38.75338753387534,15.718157181571815,39.295392953929536,-23.035230352303522,-28.455284552845526,-17.61517615176152,True,0.5420054200541979,-1.3550135501355032,2.4390243902439046,False
MSLS-val held-out,bottom_3_low_LU,"1,2,3",156,0.874090615897436,87.17948717948718,77.56410256410257,88.46153846153845,-9.615384615384615,-16.025641025641036,-3.205128205128205,True,1.2820512820512775,-1.9230769230769162,4.487179487179493,False
MSLS-val held-out,top_3_high_LU,"8,9,10",156,0.9511596384615385,85.8974358974359,66.66666666666666,86.53846153846155,-19.23076923076923,-26.282051282051288,-12.17948717948718,True,0.6410256410256499,-1.2820512820512886,3.205128205128205,False
Nordland-clean,bottom_3_low_LU,"1,2,3",120,0.8234988026666666,55.00000000000001,38.333333333333336,50.83333333333333,-16.666666666666668,-26.66666666666667,-5.833333333333335,True,-4.166666666666674,-12.5,4.166666666666669,False
Nordland-clean,top_3_high_LU,"8,9,10",120,0.9576054829999999,48.333333333333336,28.333333333333332,46.666666666666664,-20.0,-29.166666666666668,-10.833333333333334,True,-1.6666666666666663,-4.166666666666669,0.0,False
