Dataset,Language_mode,n_queries,both_correct,visual_correct_language_wrong,visual_wrong_language_correct,both_wrong,visual_R@1,language_R@1,observed_double_wrong_pct,expected_double_wrong_if_independent_pct,double_wrong_lift_vs_independence,phi_correlation,odds_ratio_haldane
AmsterTime,language_full_database_top1,1231,76,459,40,656,43.46060113728676,9.423233143785541,53.290008123476845,51.21155948978494,1.0405855368279986,0.1435183598886048,2.698706323298271
AmsterTime,language_within_visual_top10_top1,1231,217,318,72,624,43.46060113728676,23.47684809098294,50.69049553208773,43.26573008015912,1.1716084632842811,0.35338080939619587,5.882260596546311
MSLS-val held-out,language_full_database_top1,518,135,304,8,71,84.74903474903475,27.606177606177607,13.706563706563706,11.040756697127357,1.2414514767932485,0.16586653288653028,3.7431662320100454
MSLS-val held-out,language_within_visual_top10_top1,518,344,95,23,56,84.74903474903475,70.84942084942085,10.81081081081081,4.445744696709948,2.4317210160114007,0.3895786308807775,8.672941962793807
Nordland-clean,language_full_database_top1,400,42,169,32,157,52.75,18.5,39.25,38.508750000000006,1.019248872009608,0.038237359955775686,1.2151123213070116
Nordland-clean,language_within_visual_top10_top1,400,111,100,29,160,52.75,35.0,40.0,30.712500000000002,1.3024013024013024,0.390028181267606,6.036175056918796
