Dataset,Bucket,n_queries,mean_LU,visual_R@1,language_only_R@1,v2_R@1,language_minus_visual_pp,language_minus_visual_CI95_low,language_minus_visual_CI95_high,language_minus_visual_significant,v2_minus_visual_pp,v2_minus_visual_CI95_low,v2_minus_visual_CI95_high,v2_minus_visual_significant
AmsterTime,LU decile 1,124,0.8208423023387097,52.41935483870967,48.38709677419355,57.25806451612904,-4.0322580645161255,-13.709677419354833,4.858870967741648,False,4.838709677419361,-2.4193548387096864,12.096774193548393,False
MSLS-val held-out,LU decile 1,52,0.8389074236538462,88.46153846153845,88.46153846153845,94.23076923076923,0.0,-9.615384615384615,9.615384615384615,False,5.769230769230771,0.0,13.461538461538458,False
Nordland-clean,LU decile 1,40,0.7803736824999999,55.00000000000001,35.0,47.5,-20.000000000000007,-37.5,-2.500000000000002,True,-7.500000000000007,-22.500000000000004,7.500000000000007,False
