query_id,v1_best_positive_rank_in_top10,v2_best_positive_rank_in_top10,v1_bucket,v2_bucket,v1_R@1_correct,v2_R@1_correct,v1_R@5_correct,v2_R@5_correct,v1_R@10_correct,v2_R@10_correct,rank_shift_v2_minus_v1,alpha_v1,alpha_v2,SU,LU
70,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.9297202229499817,0.6772825717926025,0.9393391013145447
71,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.9654445052146912,0.5956358909606934,0.9433494210243225
72,8,7,rank_6_10,rank_6_10,False,False,False,False,True,True,-1,0.7784241374862924,0.9413228631019592,0.6731197834014893,0.9553011655807495
73,7,6,rank_6_10,rank_6_10,False,False,False,False,True,True,-1,0.3216899781187027,0.581001341342926,0.8841910362243652,0.8737525343894958
74,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.3021892068227293,0.6509333252906799,0.8937698602676392,0.901048481464386
75,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.4973052155167038,0.40917104482650757,0.8066951036453247,0.7943590879440308
76,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.7985035181045532,0.7967281937599182,0.9134038686752319
77,2,2,rank_2,rank_2,False,False,True,True,True,True,0,0.2863346129906432,0.493149071931839,0.9018182754516602,0.8551912307739258
78,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.5922839045524597,0.8946658372879028,0.8816806077957153
79,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.6343733668327332,0.8831181526184082,0.890440821647644
80,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.7001548409461975,0.8903762698173523,0.9185836315155029
81,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.7927300930023193,0.8714724779129028,0.9556276798248291
