Dataset,Method,R@1,R@5,R@10,count@1,count@5,count@10,n_queries,fixed_alpha,old_tau,old_lang_threshold,language_active,mean_alpha,std_alpha,rho,candidate_pool,uncertainty_k,mean_SU,std_SU,mean_LU,std_LU
AmsterTime,B1 visual-only,43.46060113728676,63.444354183590576,70.18683996750609,535,781,864,1231,,,,,,,,,,,,,
AmsterTime,B2 fixed fusion,43.62307067424858,65.80016246953696,73.43623070674249,537,810,904,1231,0.5,,,,,,,,,,,,
AmsterTime,V1 sigmoid+threshold,43.21689683184403,63.769293257514214,70.18683996750609,532,785,864,1231,,1.0,0.05,401.0,0.8428285835891867,0.2565566609110537,,,,,,,
AmsterTime,V2 conservative precision,44.84159220146223,65.47522339561333,72.46141348497157,552,806,892,1231,,,,1231.0,0.821467936038971,0.13805240392684937,6.0,20.0,10.0,0.7286254167556763,0.14364628493785858,0.901530385017395,0.03863419592380524
