folder,n_queries,n_database,dim,R@1,R@5,R@10,mean_diag_score,mean_top1_score,top1_diagonal_match_count
nordland_b1_descriptors,3600,3600,2048,0.08333333333333333,0.19444444444444445,0.4166666666666667,0.17962518334388733,0.49910464882850647,3
nordland_b1_descriptors_bad_alignment_check,3600,3600,2048,0.08333333333333333,0.19444444444444445,0.4166666666666667,0.17962518334388733,0.49910464882850647,3
nordland_clean_b1_descriptors,400,400,2048,0.0,1.5,3.25,0.21090850234031677,0.4845065176486969,0
