seed,n_calibration,n_evaluation,selected_rho,B1_R@1,V1_R@1,V2_global_R@1,V2_oracle_R@1,oracle_minus_global_R@1,oracle_minus_V1_R@1,oracle_minus_B1_R@1,V2_global_R@5,V2_oracle_R@5,oracle_minus_global_R@5
1,120,280,8.0,52.85714285714286,53.92857142857142,51.42857142857142,52.5,1.0714285714285765,-1.4285714285714235,-0.3571428571428612,78.21428571428571,76.42857142857142,-1.7857142857142918
7,120,280,10.0,54.285714285714285,55.35714285714286,53.57142857142857,54.64285714285714,1.0714285714285694,-0.7142857142857224,0.3571428571428541,79.64285714285714,78.92857142857143,-0.7142857142857082
21,120,280,10.0,53.92857142857142,53.92857142857142,51.78571428571429,54.285714285714285,2.499999999999993,0.3571428571428612,0.3571428571428612,77.85714285714286,76.42857142857142,-1.4285714285714448
42,120,280,4.0,53.214285714285715,53.57142857142857,49.642857142857146,50.0,0.3571428571428541,-3.5714285714285694,-3.2142857142857153,79.28571428571428,78.21428571428571,-1.0714285714285694
100,120,280,6.0,52.5,53.214285714285715,51.07142857142857,52.142857142857146,1.0714285714285765,-1.0714285714285694,-0.3571428571428541,80.0,78.21428571428571,-1.7857142857142918
